NAME,DESCRIPTION,BLK_HOUSE,STR_NAME,UNIT_NO,POSTCODE,Lat,Lng,ICON_NAME
AL MARCHE PTE LTD,CE09874X000,2,MARINA BOULEVARD,5,18987,1.28076944309971,103.852658565645,supermarketlogo.jpg
COLD STORAGE SINGAPORE (1983) PTE LTD,C02024A000,1,FIFTH AVENUE,5,268802,1.33081740177866,103.795692359115,supermarketlogo.jpg
COLD STORAGE SINGAPORE (1983) PTE LTD,W02066L000,211,HOLLAND AVENUE,5,278967,1.31025542171459,103.795350440968,supermarketlogo.jpg
THE ALASKA GUYS PTE. LTD.,SE12D97J000,201,TELOK KURAU ROAD,5,423910,1.31212247677014,103.911185988113,supermarketlogo.jpg
COLD STORAGE SINGAPORE (1983) PTE LTD,NW08020K000,70,WOODLANDS AVENUE 7,5,738344,1.44053814947729,103.800977588529,supermarketlogo.jpg
SONG FISH DEALER PTE LTD,NW17310P000,930,YISHUN AVENUE 2,5,769098,1.42969848150358,103.835776497586,supermarketlogo.jpg
SHENG SIONG SUPERMARKET PTE LTD,NW15186C000,547,SEGAR ROAD,6,670547,1.3882402152635,103.769575387874,supermarketlogo.jpg
SHENG SIONG SUPERMARKET PTE LTD,CE16913J000,473,FERNVALE STREET,6,790473,1.39779874004409,103.881698809438,supermarketlogo.jpg
COLD STORAGE SINGAPORE (1983) PTE LTD,NE13M11K000,622D,PUNGGOL CENTRAL,6,824622,1.40053114255394,103.91053692695,supermarketlogo.jpg
COLD STORAGE SINGAPORE (1983) PTE LTD,CE11C49E000,26,JALAN MEMBINA,7,161026,1.28263437748971,103.825595755974,supermarketlogo.jpg
COLD STORAGE SINGAPORE (1983) PTE LTD,SW14542A000,4,HILLVIEW RISE,7,667979,1.36267450256161,103.76417292134,supermarketlogo.jpg
COLD STORAGE SINGAPORE (1983) PTE LTD,E02048C000,845,GEYLANG ROAD,8,400845,1.3165446779962,103.894289394701,supermarketlogo.jpg
TANESEI RETAILING PTE. LTD.,SE11A69V000,112,EAST COAST ROAD,9,428802,1.30523472024853,103.905014934935,supermarketlogo.jpg
SHENG SIONG SUPERMARKET PTE LTD,NW17421C000,446,FAJAR ROAD,1,670446,1.38400581939075,103.771029612234,supermarketlogo.jpg
COLD STORAGE SINGAPORE (1983) PTE LTD,J02010E000,475,CHOA CHU KANG AVENUE 3,1,680475,1.37805613765446,103.73893180394,supermarketlogo.jpg
U STARS PTE. LTD.,SW16D52V000,810,CHOA CHU KANG AVENUE 7,1,680810,1.37405796748332,103.746160084444,supermarketlogo.jpg
FORTUNE SUPERMARKET PTE. LTD.,NW15220L000,780,WOODLANDS CRESCENT,1,730780,1.44834154204666,103.801057153449,supermarketlogo.jpg
HAO MART PTE. LTD.,NW16763X000,505,CANBERRA LINK,1,750505,1.45026201712259,103.822534722305,supermarketlogo.jpg
U STARS SUPERMARKET PTE. LTD.,NE16747J000,218,SUMANG WALK,1,820218,1.40322711960687,103.895387026654,supermarketlogo.jpg
SHENG SIONG SUPERMARKET PTE LTD,NE09359K000,301,PUNGGOL CENTRAL,1,820301,1.40371939366127,103.906138013326,supermarketlogo.jpg
ANG MO SUPERMARKET PTE LTD,NE10113B000,639,PUNGGOL DRIVE,1,820639,1.39946117297002,103.916054504161,supermarketlogo.jpg
