school_name,address,postal_code,sap_ind,gifted_ind,Lat,Lng
WOODLANDS RING PRIMARY SCHOOL,11   WOODLANDS RING ROAD,738240,No,No,1.43495229315857,103.797435733144
XINGHUA PRIMARY SCHOOL,45   HOUGANG AVENUE 1,538882,No,No,1.35790893589535,103.890472887906
XINGNAN PRIMARY SCHOOL,5    JURONG WEST STREET 91,649036,No,No,1.34254744877694,103.687950252103
XINMIN PRIMARY SCHOOL,9    HOUGANG AVENUE 8,538784,No,No,1.37139548941931,103.883080767491
XISHAN PRIMARY SCHOOL,8    YISHUN STREET 21,768611,No,No,1.43347186925064,103.837755319448
YANGZHENG PRIMARY SCHOOL,15   SERANGOON AVENUE 3,556108,No,No,1.34864575840923,103.868595527042
YEW TEE PRIMARY SCHOOL,10   CHOA CHU KANG ST 64,689100,No,No,1.39676600905037,103.750985967346
YIO CHU KANG PRIMARY SCHOOL,1    HOUGANG STREET 51,538720,No,No,1.37793264345276,103.885643682171
YISHUN PRIMARY SCHOOL,500  YISHUN RING ROAD,768679,No,No,1.43338602975674,103.834087115915
YU NENG PRIMARY SCHOOL,56   BEDOK NORTH ST 3,469623,No,No,1.33388930344069,103.932144857355
YUHUA PRIMARY SCHOOL,158  JURONG EAST STREET 24,609558,No,No,1.34280230475033,103.741105772644
YUMIN PRIMARY SCHOOL,3    TAMPINES STREET 21,529393,No,No,1.35129177656981,103.950461927088
ZHANGDE PRIMARY SCHOOL,51   Jalan Membina,169485,No,No,1.28421153855474,103.825951884637
ZHENGHUA PRIMARY SCHOOL,9    Fajar Road,679002,No,No,1.37972100441473,103.769118494651
ZHONGHUA PRIMARY SCHOOL,12   SERANGOON AVENUE 4,556095,No,No,1.36026072476019,103.869712517383
